,n,L,time,rate,num_mutations,num_trees,num_edges
77,84212,10000000.0,0.029560311685781927,1e-09,2407.8,22504,254058
78,57898,10000000.0,0.23787742350250482,1e-07,230251.5,21571,198091
79,57898,10000000.0,0.037244389113038776,1e-08,22979.9,21571,198091
80,57898,10000000.0,0.02317286250181496,1e-09,2320.8,21571,198091
81,1000,21842105.0,0.2715783378109336,1e-07,317256.1,28889,108489
82,1000,21842105.0,0.030743010225705802,1e-08,31671.3,28889,108489
83,1000,21842105.0,0.012736348994076252,1e-09,3162.1,28889,108489
84,89474,10000000.0,0.2735206470009871,1e-07,242578.8,22648,265480
85,89474,10000000.0,0.046187204809393735,1e-08,24242.8,22648,265480
86,89474,10000000.0,0.03106702961958945,1e-09,2431.5,22648,265480
87,26323,10000000.0,0.199973508506082,1e-07,211715.3,19862,128005
88,26323,10000000.0,0.02710328809916973,1e-08,21232.1,19862,128005
89,26323,10000000.0,0.015315754187759012,1e-09,2114.6,19862,128005
90,47373,10000000.0,0.22629075307631866,1e-07,227491.6,21639,176955
91,47373,10000000.0,0.03471477108541876,1e-08,22732.6,21639,176955
92,47373,10000000.0,0.020384983893018217,1e-09,2297.0,21639,176955
93,1000,63526315.0,1.0022181824897416,1e-07,949011.0,86033,319137
94,1000,63526315.0,0.10922287279972806,1e-08,94776.4,86033,319137
95,1000,63526315.0,0.03912117988802492,1e-09,9457.6,86033,319137
96,10535,10000000.0,0.1713225639075972,1e-07,194278.3,18240,89943
97,10535,10000000.0,0.021995125501416624,1e-08,19494.8,18240,89943
98,10535,10000000.0,0.011302949511446059,1e-09,1945.2,18240,89943
99,36848,10000000.0,0.2184422176098451,1e-07,220949.0,20834,152905
100,36848,10000000.0,0.03095538999186829,1e-08,22037.5,20834,152905
101,36848,10000000.0,0.01845959060592577,1e-09,2209.7,20834,152905
102,1000,42684210.0,0.6180730582796968,1e-07,632591.5,57018,211998
103,1000,42684210.0,0.06966594129335135,1e-08,63284.5,57018,211998
104,1000,42684210.0,0.02517755851149559,1e-09,6352.9,57018,211998
105,10,10000000.0,0.02860610551433638,1e-07,53701.3,4191,12917
