,sample_size,tool,user_time,sys_time,memory
182,396,fastSimBac,5966.044997,0.230737,201908224
183,396,fastSimBac,5869.92409,0.078384,201924608
184,396,fastSimBac,6370.602051,0.099607,201785344
185,371,fastSimBac,7680.046123,0.11407199999999999,201908224
186,371,fastSimBac,7911.374328,0.490243,201916416
187,371,fastSimBac,8105.189963,0.101705,201826304
188,422,fastSimBac,6644.038124,0.069633,201883648
189,422,fastSimBac,6899.52542,0.40540899999999996,201789440
190,422,fastSimBac,7448.275243,0.17918199999999998,201850880
191,422,fastSimBac,7187.460972,0.0909,201842688
192,396,fastSimBac,8519.213371,0.105011,201904128
193,422,fastSimBac,7294.342321,0.097284,201859072
194,448,fastSimBac,6681.214858,0.14214,201908224
195,448,fastSimBac,6566.162368,0.194435,201777152
196,448,fastSimBac,6995.726571,1.758975,201859072
197,448,fastSimBac,7773.844064,0.23480499999999999,201822208
198,474,fastSimBac,6891.508049,0.16649199999999997,201854976
199,448,fastSimBac,8139.417831,0.170215,201846784
200,474,fastSimBac,7312.358267,0.178843,201814016
201,474,fastSimBac,7841.140938,0.117753,201846784
202,474,fastSimBac,7934.783042,0.191017,201764864
203,500,fastSimBac,7542.905069,0.153225,201854976
204,500,fastSimBac,7641.706355,0.206151,201814016
205,474,fastSimBac,9084.011466,0.214353,201887744
206,500,fastSimBac,9218.970002,0.15536699999999998,201846784
207,500,fastSimBac,8974.393449,0.51841,201895936
208,500,fastSimBac,10877.756759,0.14281599999999997,201781248
209,396,fastSimBac,16031.312919,0.445453,201797632
