N,L,num_samples,height,num_trees,time
50000,10000000.0,1000,1290719.9709012413,150106,11.722639885000035
50000,10000000.0,100000,1222368.122200248,238924,47.737628255999994
50000,10000000.0,100000,1171530.293681988,239290,43.038206403000004
50000,10000000.0,100000,1214662.0979989988,239519,52.01406013799999
10000,50000000.0,1000,296457.06409969367,149677,11.000949143999947
10000,50000000.0,1000,319661.81551440555,148743,12.091316599999914
10000,50000000.0,1000,242491.0700059483,152533,13.945342972999924
10000,50000000.0,100000,277583.1989183045,242653,52.1446242720001
10000,50000000.0,100000,276374.54055009765,240524,44.384839907000014
10000,50000000.0,100000,277554.99982002773,241891,40.4319079039999
5000,100000000.0,1000,117241.9775783505,148971,11.389844081999968
5000,100000000.0,1000,127850.32888047965,149433,10.666225563000012
5000,100000000.0,1000,119690.44790954255,149979,11.224531269999943
5000,100000000.0,100000,156939.3106970505,240879,46.01110959399989
5000,100000000.0,100000,113811.9853351925,244221,45.99930062399994
5000,100000000.0,100000,126325.69527587037,243324,43.40927858800001
200000,5000000.0,1000,6090347.787132493,290419,53.564888268999994
200000,5000000.0,1000,5330211.974488728,289472,52.01861847100008
200000,5000000.0,1000,6558952.918049474,289694,51.23709812800007
200000,5000000.0,100000,5876495.529879126,458901,159.11932208899998
200000,5000000.0,100000,5057496.093900188,460604,146.04307143200003
200000,5000000.0,100000,6489905.992156785,460036,150.43032949000008
100000,10000000.0,1000,3141331.317212133,293914,51.90192690699996
100000,10000000.0,1000,2852855.2277114764,295519,52.22569208599998
100000,10000000.0,1000,2778929.5480368445,297888,54.83446830899993
100000,10000000.0,100000,2502359.150591857,472071,156.71344064400023
100000,10000000.0,100000,3099189.6478949003,474913,167.85668538499976
100000,10000000.0,100000,2590642.6257908726,472431,169.06464157400023
10000,100000000.0,1000,281480.298277152,299305,61.0944716920003
10000,100000000.0,1000,311632.71616019856,300853,61.316496016999736
10000,100000000.0,1000,274055.20505857986,298005,53.40664601000026
10000,100000000.0,100000,274459.85378751915,485393,187.9621559340003
10000,100000000.0,100000,252540.74871078235,481636,192.7737929570003
10000,100000000.0,100000,257496.77987097309,483016,165.86943644199982
300000,5000000.0,1000,9373617.59811445,429475,144.7085185609999
300000,5000000.0,1000,10074674.207540978,429473,139.2882576840002
300000,5000000.0,1000,8596641.982148206,429589,140.22246703899964
300000,5000000.0,100000,11168925.079398552,676520,444.802126389
300000,5000000.0,100000,9412617.614549527,675768,359.9417667590001
300000,5000000.0,100000,8561580.928622322,676084,361.3037501379995
200000,10000000.0,1000,6073439.045860021,584656,261.0827864539997
200000,10000000.0,1000,6280503.523213601,584078,240.64488306600015
200000,10000000.0,1000,5066978.2717344975,581246,232.35084879899932
200000,10000000.0,100000,6089405.739226188,920665,563.3373066449994
200000,10000000.0,100000,6303867.995878335,924407,687.4446783909998
200000,10000000.0,100000,7542671.431236595,923249,695.5782941739999
50000,50000000.0,1000,1709062.928926369,744364,418.49183764199915
50000,50000000.0,1000,1405361.3495191308,746064,421.13824324100005
50000,50000000.0,1000,1327607.7366577317,743689,408.5926993689991
50000,50000000.0,100000,1401350.3694994897,1192813,960.6811588529999
50000,50000000.0,100000,1467322.8310769245,1197636,874.4188727540004
50000,50000000.0,100000,1391329.2108354848,1195239,956.4567954610011
300000,10000000.0,1000,9001001.016872367,860133,549.2028609870013
